"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM","moneyness","logmoneyness","TimeToExp"
"33","SPY231206C00452000","REGULAR","USD",2023-12-06,452,4.31,-0.40999985,-8.686438,4.02,4.55,433,739,2023-12-06 14:35:07,0.200447448730469,TRUE,1.00893805309735,0.00889834513328779,0
"34","SPY231206C00453000","REGULAR","USD",2023-12-06,453,3.24,-0.6099999,-15.844153,3.22,3.32,1679,859,2023-12-06 14:33:11,0.135018415527344,TRUE,1.00671081677704,0.00668839948248506,0
"35","SPY231206C00454000","REGULAR","USD",2023-12-06,454,2.24,-0.6600001,-22.758623,2.22,2.32,5772,2650,2023-12-06 14:38:58,0.1054776953125,TRUE,1.00449339207048,0.00448332692417106,0
"36","SPY231206C00455000","REGULAR","USD",2023-12-06,455,1.25,-0.8599999,-40.75829,1.23,1.32,23817,9548,2023-12-06 14:39:03,0.0730073168945312,TRUE,1.00228571428571,0.00228310601456855,0
"37","SPY231206C00456000","REGULAR","USD",2023-12-06,456,0.45,-0.96,-68.085106,0.45,0.46,216287,7774,2023-12-06 14:39:45,0.0472507385253906,TRUE,1.00008771929825,8.77154511329144e-05,0
"38","SPY231206C00457000","REGULAR","USD",2023-12-06,457,0.11,-0.76,-87.35632,0.12,0.13,388177,13760,2023-12-06 14:39:35,0.04883763671875,FALSE,0.997899343544858,-0.00210286592868568,0
"39","SPY231206C00458000","REGULAR","USD",2023-12-06,458,0.02,-0.47,-95.918365,0.02,0.03,401571,13838,2023-12-06 14:38:49,0.0522555712890625,FALSE,0.995720524017467,-0.00428865914866593,0
"40","SPY231206C00459000","REGULAR","USD",2023-12-06,459,0.01,-0.24,-96,0.01,0.02,295195,12055,2023-12-06 14:39:40,0.067392138671875,FALSE,0.993551198257081,-0.00646968509502613,0
"41","SPY231206C00460000","REGULAR","USD",2023-12-06,460,0.01,-0.1,-90.909096,0,0.01,151576,29266,2023-12-06 14:31:23,0.07618111328125,FALSE,0.991391304347826,-0.00864596451762156,0
"42","SPY231206C00461000","REGULAR","USD",2023-12-06,461,0.01,-0.04,-79.99999,0,0.01,54633,11398,2023-12-06 14:39:25,0.0937590625,FALSE,0.989240780911063,-0.0108175180311295,0
"43","SPY231206C00462000","REGULAR","USD",2023-12-06,462,0.01,-0.02,-66.66667,0,0.01,23934,6594,2023-12-06 14:30:07,0.10938390625,FALSE,0.987099567099567,-0.0129843661162198,0
"44","SPY231206C00463000","REGULAR","USD",2023-12-06,463,0.01,-0.01,-50,0,0.01,6869,4990,2023-12-06 14:24:29,0.12500875,FALSE,0.984967602591793,-0.015146529120715,0
"45","SPY231206C00464000","REGULAR","USD",2023-12-06,464,0.01,0,0,0,0.01,6930,4457,2023-12-06 13:03:04,0.14063359375,FALSE,0.982844827586207,-0.0173040272607362,0
"46","SPY231206C00465000","REGULAR","USD",2023-12-06,465,0.01,0,0,0,0.01,3646,5920,2023-12-06 11:59:18,0.1562584375,FALSE,0.980731182795699,-0.0194568806218373,0
"47","SPY231206C00466000","REGULAR","USD",2023-12-06,466,0.01,0,0,0,0.01,409,5444,2023-12-06 14:01:20,0.1679770703125,FALSE,0.97862660944206,-0.0216051091601268,0
"48","SPY231206C00467000","REGULAR","USD",2023-12-06,467,0.01,0,0,0,0.01,191,5435,2023-12-06 14:30:05,0.1836019140625,FALSE,0.976531049250535,-0.0237487327033783,0
"49","SPY231206C00468000","REGULAR","USD",2023-12-06,468,0.01,0,0,0,0.01,632,1079,2023-12-06 14:30:03,0.1992267578125,FALSE,0.974444444444444,-0.0258877709521277,0
